SN,Actual IP Delay (ms),Predicted IP Delay (ms),Absolute Difference (ms)
7356,18.683910369873047,18.700246610706017,0.01633624083297036
7357,18.62788200378418,18.634466621051615,0.006584617267435533
7358,18.546104431152344,18.574868450969007,0.028764019816662767
7359,18.49198341369629,18.505737643636166,0.013754229939877405
7360,18.4171199798584,18.439063812138556,0.02194383228015795
7361,18.40806007385254,18.37065809922933,0.037401974623207934
7362,18.280029296875,18.3289205112942,0.04889121441919997
7363,18.26691627502441,18.243132641146076,0.023783633878334598
7364,18.175840377807617,18.19182370627459,0.015983328466973035
7365,18.125057220458984,18.12165661885956,0.0034006015994236805
7366,18.046140670776367,18.06076963407577,0.01462896329940122
7367,17.972946166992188,17.990283820154218,0.01733765316203062
7368,17.910003662109375,17.919256238201342,0.009252576091967057
7369,17.847061157226562,17.852016005235782,0.004954848009219859
7370,17.78697967529297,17.78671561351075,0.0002640617822180502
7371,17.718076705932617,17.72312833486467,0.005051628932051244
7372,17.640113830566406,17.65405483797622,0.0139410074098123
7373,17.663002014160156,17.581610079332677,0.08139193482747942
7374,17.55690574645996,17.55293826727211,0.003967479187849676
7375,17.517805099487305,17.48447742238568,0.03332767710162443
7376,17.470121383666992,17.426484531256392,0.04363685241060011
7377,17.378807067871094,17.374670946082915,0.004136121788178571
7378,17.335891723632812,17.30542903692367,0.030462686709142872
7379,17.264127731323242,17.248146996394098,0.01598073492914409
7380,17.204999923706055,17.185632612836343,0.01936731086971122
7381,17.13109016418457,17.12373590851257,0.007354255671998544
7382,17.07005500793457,17.054396303478825,0.015658704455745465
7383,16.988039016723633,16.990317864269855,0.002278847546222096
7384,16.921043395996094,16.916660704850983,0.004382691145110584
7385,16.9069766998291,16.849687501689914,0.05728919813918765
7386,16.787052154541016,16.81041283848117,0.02336068394015456
7387,16.772031784057617,16.741546631124038,0.03048515293357923
7388,16.704082489013672,16.697442138593033,0.006640350420639152
7389,16.655921936035156,16.644809030822216,0.01111290521293995
7390,16.58487319946289,16.592683128862973,0.007809929400082183
7391,16.51787757873535,16.52637607583074,0.008498497095388302
7392,16.446828842163086,16.44491585642527,0.0019129857378175075
7393,16.376018524169922,16.38107080646023,0.00505228229030763
7394,16.299009323120117,16.319398086267256,0.02038876314713889
7395,16.2198543548584,16.385085155917523,0.16523080105912413
7396,21.20208740234375,16.938243365757444,4.263844036586306
7397,21.13485336303711,20.621847545498895,0.5130058175382146
7398,21.08192443847656,20.987311557291832,0.09461288118472666
7399,20.99490165710449,20.932787875153736,0.06211378195075312
7400,20.92504501342773,20.846350319061457,0.07869469436627341
7401,20.85280418395996,20.831439884204883,0.02136429975507781
7402,20.849943161010746,20.78524733087761,0.06469583013313596
7403,20.707130432128903,20.798893584469624,0.09176315234072163
7404,20.69091796875,20.703793437405693,0.012875468655693112
7405,20.62606811523437,20.61706564245469,0.009002472779680915
7406,20.56407928466797,20.600900075351092,0.03682079068312305
7407,20.51091194152832,20.53617982619471,0.025267884666391183
7408,20.425796508789062,20.476882954881148,0.05108644609208568
7409,20.361900329589844,20.405455037689535,0.0435547080996912
7410,20.29299736022949,20.337975843631284,0.044978483401795444
7411,20.22099494934082,20.27114315160361,0.05014820226278971
7412,20.23911476135254,20.20254523085896,0.036569530493579805
7413,20.112037658691406,20.17152050666482,0.0594828479734133
7414,20.05600929260254,20.093131548946985,0.037122256344446214
7415,19.963979721069336,20.021997222102073,0.05801750103273662
7416,19.98305320739746,19.948224939071224,0.034828268326236866
7417,19.852876663208008,19.91885350389566,0.06597684068765375
7418,19.819974899291992,19.83687041047233,0.016895511180337053
7419,19.749879837036133,19.775614594436774,0.025734757400641683
7420,19.697904586791992,19.71383427053297,0.015929683740978362
7421,19.6218490600586,19.65595340288928,0.03410434283068042
7422,19.55604553222656,19.589258457017422,0.03321292479086324
7423,19.489049911499023,19.521372057170083,0.03232214567105984
7424,19.40703392028809,19.455562574421492,0.04852865413340268
7425,19.331932067871094,19.381398502446245,0.04946643457515165
7426,19.331932067871094,19.309395469917945,0.022536597953148885
7427,19.22202110290528,19.268800571808242,0.046779468902961696
7428,19.20294761657715,19.193565364275855,0.009382252301293192
7429,19.13094520568848,19.141448385653348,0.010503179964867826
7430,19.080162048339844,19.08028808702511,0.00012603868526639417
7431,18.991947174072266,19.023276595362404,0.03132942129013827
7432,18.93305778503418,18.950911266983894,0.017853481949714478
7433,18.873214721679688,18.88678171758329,0.01356699590360222
7434,18.82481575012207,18.82506239076065,0.0002466406385792652
7435,18.73111724853516,18.768633722856976,0.03751647432181571
7436,18.679141998291016,18.694131653319346,0.014989655028330162
7437,18.590211868286133,18.628351663664944,0.03813979537881096
7438,18.512964248657227,18.554143352048413,0.0411791033911868
7439,18.45121383666992,18.47819310455634,0.026979267886421354
7440,18.436908721923828,18.40973058392592,0.02717813799790747
7441,18.362998962402344,18.36523505653531,0.0022360941329679918
7442,18.33510398864746,18.302543127902027,0.032560860745434184
7443,18.23902130126953,18.252687565791348,0.013666264521816629
7444,18.158912658691406,18.180611805973967,0.02169914728256117
7445,18.105030059814453,18.10556394661944,0.00053388680498756
7446,18.02301406860352,18.04401521053478,0.021001141931261458
7447,17.961978912353516,17.97349051935271,0.011511606999192736
7448,17.887115478515625,17.905834366729323,0.018718888213697937
7449,17.848968505859375,17.834362545045224,0.01460596081415133
